CODE,NAME,MALE_POPULATION,FEMALE_POPULATION,TOTAL_POPULATION
1204060,SORKAM,7878,8124,16002
1204061,SORKAM BARAT,7212,7516,14728
1204062,PASARIBU TOBING,3229,3238,6467
1204070,BARUS,7878,7762,15640
1204071,SOSOR GADONG,6226,6243,12469
1204072,ANDAM DEWI,6941,7109,14050
1204073,BARUS UTARA,2044,2109,4153
1204080,MANDUAMAS ,9674,9510,19184
1204081,SIRANDORUNG,6701,6705,13406
1205,TAPANULI UTARA,137914,140983,278897
1205030,PARMONANGAN,6410,6547,12957
1205040,ADIAN KOTING,7027,6853,13880
1205050,SIPOHOLON,10970,11416,22386
1205060,TARUTUNG,19235,20405,39640
1205061,SIATAS BARITA,6312,6425,12737
1205070,PAHAE JULU,5749,6005,11754
1205080,PAHAE JAE,5108,5457,10565
1205081,PURBATUA,3482,3683,7165
1205082,SIMANGUMBAN,3571,3737,7308
1205090,PANGARIBUAN,13238,13509,26747
1205100,GAROGA,7768,7718,15486
1205110,SIPAHUTAR,12299,12230,24529
1205120,SIBORONG-BORONG,22201,21926,44127
1205130,PAGARAN,8180,8345,16525
1205180,MUARA,6364,6727,13091
1206,TOBA SAMOSIR,85969,86964,172933
1206030,BALIGE,18286,18303,36589
1206031,TAMPAHAN,2157,2134,4291
1206040,LAGU BOTI,8921,9451,18372
1206050,HABINSARAN,7670,7749,15419
1206051,BORBOR,3461,3379,6840
1206052,NASSAU,3717,3572,7289
1206060,SILAEN,5986,6125,12111
1206061,SIGUMPAR,3662,3735,7397
1206070,PORSEA,6320,6368,12688
1206071,PINTU POHAN MERANTI,3526,3544,7070
1206072,SIANTAR NARUMONDA,2802,2923,5725
1206073,PARMAKSIAN,5142,5117,10259
1206080,LUMBAN JULU,3952,4119,8071
1206081,ULUAN,3485,3495,6980
1206082,AJIBATA,3600,3605,7205
1206083,BONATUA LUNASI,3282,3345,6627
1207,LABUHAN BATU,209320,205097,414417
1207050,BILAH HULU,28165,27934,56099
1207070,PANGKATAN,16082,15785,31867
1207080,BILAH BARAT,17131,16607,33738
1207130,BILAH HILIR,25566,24265,49831
1207140,PANAI HULU,16867,16392,33259
1207150,PANAI TENGAH,17034,16306,33340
1207160,PANAI HILIR,18312,17576,35888
1207210,RANTAU SELATAN ,29030,28580,57610
1207220,RANTAU UTARA,41133,41652,82785
1208,ASAHAN,335166,332397,667563
1208010,BANDAR PASIR MANDOGE,16796,15973,32769
1208020,BANDAR PULAU,10466,10046,20512
1208021,AEK SONGSONGAN,8126,8188,16314
1208022,RAHUNING,8875,8635,17510
1208030,PULAU RAKYAT,15798,15730,31528
1208031,AEK KUASAN,11390,11176,22566
1208032,AEK LEDONG,9841,9717,19558
1208040,SEI KEPAYANG,8403,8634,17037
1208041,SEI KEPAYANG BARAT,6451,6294,12745
1208042,SEI KEPAYANG TIMUR,4439,4163,8602
1208050,TANJUNG BALAI,17753,17138,34891
1208060,SIMPANG EMPAT,19985,19588,39573
1208061,TELUK DALAM,8674,8590,17264
1208070,AIR BATU,19638,19504,39142
1208071,SEI DADAP,15545,15187,30732
1208080,BUNTU PANE,11211,11283,22494
1208081,TINGGI RAJA,9106,9081,18187
1208082,SETIA JANJI,5785,5696,11481
1208090,MERANTI,9607,9766,19373
1208091,PULO BANDRING,14045,13916,27961
1208092,RAWANG PANCA ARGA,8858,8610,17468
1208100,AIR JOMAN,23072,22639,45711
1208101,SILAU LAUT,10086,10036,20122
1208160,KISARAN BARAT,27238,28050,55288
1208170,KISARAN TIMUR,33978,34757,68735
1209,SIMALUNGUN,407771,410333,818104
1209010,SILIMAKUTA,6892,6635,13527
1209011,PEMATANG SILIMAHUTA,5195,5135,10330
1209020,PURBA,11009,10828,21837
1209021,HARANGGAOL HORISON,2514,2475,4989
1209030,DOLOK PARDAMEAN,7858,7686,15544
1209040,SIDAMANIK,13226,13658,26884
1209041,PEMATANG SIDAMANIK,8175,8329,16504
1209050,GIRSANG SIPANGAN BOLON,7071,7241,14312
1209060,TANAH JAWA,22574,23630,46204
1209061,HATONDUHAN,10672,10497,21169
1209070,DOLOK PANRIBUAN,8829,9161,17990
1209080,JORLANG HATARAN,7486,7707,15193
1209090,PANEI,10432,10951,21383
1209091,PANOMBEAN PANEI,9596,9437,19033
1209100,RAYA,15684,15581,31265
1209110,DOLOK SILAU,6875,6772,13647
1209120,SILAU KAHEAN ,8440,8625,17065
1209130,RAYA KAHEAN,8684,8492,17176
1209140,TAPIAN DOLOK,19287,18685,37972
1209150,DOLOK BATU NANGGAR,19814,19439,39253
1209160,SIANTAR,31382,31471,62853
1209161,GUNUNG MALELA,16341,16453,32794
1209162,GUNUNG MALIGAS,12991,12988,25979
1209170,HUTABAYU RAJA,14238,14752,28990
1209171,JAWA MARAJA BAH JAMBI,9805,10171,19976
1209180,PEMATANG BANDAR,16190,16540,32730
1209181,BANDAR HULUAN,12979,12895,25874
1209190,BANDAR,31367,32194,63561
1209191,BANDAR MASILAM,12107,12268,24375
1209200,BOSAR MALIGAS,19634,19585,39219
1209210,UJUNG PADANG,20424,20052,40476
1210,DAIRI,134754,135094,269848
1210030,SIDIKALANG,24502,24392,48894
1210031,BERAMPU,4015,3880,7895
1210032,SITINJO,5767,5470,11237
1210040,PARBULUAN,10387,10246,20633
1210050,SUMBUL,19530,19656,39186
1210051,SILAHI SABUNGAN,2217,2263,4480
1210060,SILIMA PUNGGA-PUNGGA,6188,6407,12595
1210061,LAE PARIRA,6748,6853,13601
1210070,SIEMPAT NEMPU,8839,9155,17994
1210080,SIEMPAT NEMPU HULU,8763,8818,17581
1210090,SIEMPAT NEMPU HILIR,5228,5204,10432
1210100,TIGA LINGGA,10541,10828,21369
1210101,GUNUNG SITEMBER,4572,4527,9099
1210110,PEGAGAN HILIR,7347,7327,14674
1210120,TANAH PINEM,10110,10068,20178
1211,KARO,174391,176088,350479
1211010,MARDINGDING,8526,8546,17072
1211020,LAUBALENG,8889,8815,17704
1211030,TIGA BINANGA,9945,9944,19889
1211040,JUHAR,6578,6634,13212
1211050,MUNTE,9719,9915,19634
1211060,KUTA BULUH,5256,5329,10585
1211070,PAYUNG,5365,5454,10819
1211071,TIGANDERKET,6451,6730,13181
1211080,SIMPANG EMPAT,9482,9453,18935
1211081,NAMAN TERAN,6453,6191,12644
1211082,MERDEKA,6652,6562,13214
1211090,KABANJAHE,30977,32313,63290
1211100,BERASTAGI,21245,21310,42555
1211110,TIGAPANAH ,14584,14827,29411
1211111,DOLAT RAYAT,4113,4198,8311
1211120,MEREK,9280,8752,18032
1211130,BARUSJAHE,10876,11115,21991
1212,DELI SERDANG,900733,888510,1789243
1212010,GUNUNG MERIAH,1246,1240,2486
1212020,SINEMBAH TANJUNG MUDA HULU,6228,6098,12326
1212030,SIBOLANGIT,9884,9907,19791
1212040,KUTALIMBARU,17882,17925,35807
1212050,PANCUR BATU,42731,42313,85044
1212060,NAMO RAMBE,18230,18522,36752
1212070,BIRU-BIRU,17171,16874,34045
1212080,SINEMBAH TANJUNG MUDA HILIR,15503,14951,30454
1212090,BANGUN PURBA,11104,10630,21734
1212190,GALANG,31050,30369,61419
1212200,TANJUNG MORAWA,96592,95630,192222
1212210,PATUMBAK,45299,43999,89298
1212220,DELI TUA,29834,30901,60735
1212230,SUNGGAL,123295,121438,244733
