0,1,2,3,4,n_cells_with_newline
3211090,"CIBUGEL
",10 349,10 273,20 622,1
3211111,"JATIGEDE
 ",11 489,12 205,23 694,1
3212162,PASEKAN,12 205,"11 125
",23 330,1
3212210,ANJATAN,"41 359
 ",39 177,80 536,1
3212221,"PATROL
",27 885,25 905,53 790,1
3213011,"SERANG PANJANG
 ",11 982,11 950,23 932,1
3214040,PLERED,36 595,"34 046
",70 641,1
3214091,PONDOK SALAM,"13 513
 ",12 765,26 278,1
3214101,"BABAKANCIKAO
",23 927,23 318,47 245,1
3214112,"BUNGURSARI
 ",26 146,25 738,51 884,1
3216010,SETU,56 996,"54 698
",111 694,1
3216050,KEDUNGWARINGIN,"28 453
 ",27 075,55 528,1
3216062,"KARANGBAHAGIA
",46 036,44 414,90 450,1
3216081,"TAMBUN SELATAN
 ",211 498,205 412,416 910,1
3271060,TANAH SAREAL,97 268,"93 508
",190 776,1
3272030,WARUDOYONG,"27 341
 ",25 454,52 795,1
3272050,"CIKOLE
",28 410,28 598,57 008,1
3273020,"BABAKAN CIPARAY
 ",73 458,69 562,143 020,1
3274050,KEJAKSAN,20 605,"21 547
",42 152,1
3275030,BANTARGEBANG,"50 715
 ",45 242,95 957,1
3275040,"BEKASI TIMUR
",127 027,121 019,248 046,1
3275061,"MEDAN SATRIA
 ",81 792,79 825,161 617,1
3279020,PURWAHARJA,10 219,"10 317
",20 536,1
3301090,PATIMUAN,21 373,"21 188
",42 561,1
3301150,ADIPALA,"38 739
 ",36 579,75 318,1
3301170,"SAMPANG
",18 361,18 240,36 601,1
3301200,"NUSAWUNGU
 ",33 785,34 267,68 052,1
3303010,KEMANGKON,25 702,"26 572
",52 274,1
3303080,PADAMARA,"18 952
 ",19 748,38 700,1
3303100,"BOJONGSARI
",27 515,27 105,54 620,1
3303130,"KARANGREJA
 ",19 571,19 566,39 137,1
3305060,BULUSPESANTREN,25 751,"25 724
",51 475,1
3305110,ALIAN,"26 754
 ",26 829,53 583,1
3305120,"KEBUMEN
",59 114,59 413,118 527,1
3305150,"ADIMULYO
 ",16 329,17 132,33 461,1
3307051,SUKOHARJO,16 081,"15 140
",31 221,1
3307120,GARUNG,"24 649
 ",23 242,47 891,1
3308,"MAGELANG
",593 949,587 967,1 181 916,1
3308030,"NGLUWAR
 ",14 724,15 133,29 857,1
3309150,KLEGO,19 243,"19 985
",39 228,1
3310,KLATEN,"554 715
 ",575 147,1 129 862,1
3310030,"WEDI
",22 588,23 817,46 405,1
3310060,"TRUCUK
 ",34 266,34 876,69 142,1
3312,WONOGIRI,452 114,"476 573
",928 687,1
3312070,TIRTOMOYO,"23 911
 ",24 824,48 735,1
3312090,"BATURETNO
",21 591,22 878,44 469,1
3312120,"MANYARAN
 ",16 416,17 623,34 039,1
3314010,KALIJAMBE,23 835,"23 412
",47 247,1
3314080,NGRAMPAL,"18 055
 ",18 567,36 622,1
3314100,"SRAGEN
",32 808,33 900,66 708,1
3314130,"GEMOLONG
 ",22 217,23 240,45 457,1
3316050,CEPU,35 519,"36 529
",72 048,1
3316120,TUNJUNGAN,"22 116
 ",22 742,44 858,1
3316140,"NGAWEN
",27 798,28 160,55 958,1
3317,"REMBANG
 ",295 236,296 381,591 617,1
3318190,CLUWAK,20 702,"21 485
",42 187,1
3319030,JATI,"48 675
 ",50 740,99 415,1
3319050,"MEJOBO
",34 549,35 259,69 808,1
3319080,"GEBOG
 ",46 546,47 349,93 895,1
3321130,WEDUNG,35 491,"36 310
",71 801,1
3322031,KALIWUNGU,"12 681
 ",13 621,26 302,1
3322050,"PABELAN
",18 551,18 726,37 277,1
3322090,"SOMOWONO
 ",14 948,14 716,29 664,1
3324020,SUKOREJO,28 866,"28 313
",57 179,1
3324081,KALIWUNGU SELATAN,"22 420
 ",21 997,44 417,1
3324100,"PEGANDON
",17 315,16 116,33 431,1
3324111,"RINGINARUM
 ",16 986,14 896,31 882,1
3326100,S R A G I,29 894,"30 630
",60 524,1
3326150,TIRTO,"32 714
 ",32 436,65 150,1
3326161,"WONOKERTO
",22 212,21 605,43 817,1
3327011,"WARUNGPRING
 ",18 759,19 080,37 839,1
3329010,SALEM,28 242,"28 620
",56 862,1
3329080,KETANGGUNGAN,"66 693
 ",66 974,133 667,1
3329100,"LOSARI
",61 242,58 987,120 229,1
3329130,"BULAKAMBA
 ",82 334,79 928,162 262,1
3374080,PEDURUNGAN,88 791,"90 107
",178 898,1
3374150,TUGU,"14 645
 ",14 593,29 238,1
3375,"KOTA PEKALONGAN
",141 339,140 798,282 137,1
3375030,"PEKALONGAN SELATAN
 ",27 892,27 270,55 162,1
3401100,NANGGULAN,13 194,"14 027
",27 221,1
3402030,KRETEK,"14 063
 ",15 072,29 135,1
3402050,"BAMBANGLIPURO
",18 414,18 897,37 311,1
3402080,"JETIS
 ",25 710,26 217,51 927,1
3404050,GAMPING,48 697,"48 311
",97 008,1
3404110,NGEMPLAK,"29 148
 ",29 675,58 823,1
3404130,"SLEMAN
",30 752,31 815,62 567,1
3404170,"CANGKRINGAN
 ",13 809,14 368,28 177,1
3501090,TEGALOMBO,23 659,"24 420
",48 079,1
3502020,SLAHUNG,"24 218
 ",25 050,49 268,1
3502040,"SAMBIT
",17 647,17 922,35 569,1
3502070,"PULUNG
 ",22 978,22 972,45 950,1
3504040,CAMPUR DARAT,26 762,"26 891
",53 653,1
3504110,BOYOLANGU,"37 517
 ",38 980,76 497,1
3504130,"KEDUNGWARU
",42 392,42 845,85 237,1
3504160,"KAUMAN
 ",24 325,24 821,49 146,1
3506060,KANDAT,28 087,"28 116
",56 203,1
3506130,KANDANGAN,"23 294
 ",23 703,46 997,1
3506141,"BADAS
",29 884,29 406,59 290,1
3506170,"PURWOASRI
 ",26 525,27 945,54 470,1
3507250,PAKIS,67 697,"66 684
",134 381,1
3507310,PUJON,"33 483
 ",31 834,65 317,1
3507330,"KASEMBON
",15 247,14 884,30 131,1
3508020,"PRONOJIWO
 ",15 774,16 366,32 140,1
3509140,UMBULSARI,34 500,"35 304
",69 804,1
3509200,PANTI,"29 202
 ",30 514,59 716,1
3509220,"ARJASA
",18 714,19 604,38 318,1
3509260,"SUMBERJAMBE
 ",29 661,30 991,60 652,1
3511020,GRUJUGAN,16 867,"17 500
",34 367,1
3511070,TAPEN,"15 846
 ",17 240,33 086,1
3511090,"TENGGARANG
",19 443,20 094,39 537,1
3511111,"BINAKAL
 ",7 219,7 932,15 151,1
3513050,LECES,26 540,"27 966
",54 506,1
3513120,KOTAANYAR,"17 097
 ",18 061,35 158,1
3513140,"BESUK
",22 031,23 651,45 682,1
3513170,"PAJARAKAN
 ",16 267,17 420,33 687,1
3515,SIDOARJO,977 683,"967 569
",1 945 252,1
3515070,CANDI,"72 283
 ",72 863,145 146,1
3515090,"WONOAYU
",36 017,35 992,72 009,1
3515120,"BUDURAN
 ",46 901,45 433,92 334,1
3517070,BARENG,24 370,"24 938
",49 308,1
3517140,MEGALUH,"18 019
 ",18 411,36 430,1
3517160,"KESAMBEN
",29 737,30 259,59 996,1
3517180,"PLOSO
 ",19 222,19 433,38 655,1
3519090,PILANGKENCENG,24 311,"25 805
",50 116,1
3519150,JIWAN,"27 369
 ",28 881,56 250,1
3520010,"PONCOL
",14 167,14 625,28 792,1
3520041,"NGUNTORONADI
 ",9 400,9 830,19 230,1
3522,BOJONEGORO,597 585,"611 423
",1 209 008,1
3522050,BUBULAN,"6 711
 ",6 979,13 690,1
3522060,"TEMAYANG
",16 729,17 180,33 909,1
3522090,"KEPOH BARU
 ",29 443,30 212,59 655,1
3523160,KEREK,31 740,"32 713
",64 453,1
3524020,BLULUK,"10 313
 ",11 090,21 403,1
3524040,"SAMBENG
",23 702,24 345,48 047,1
3524070,"SUGIO
 ",26 540,27 735,54 275,1
3525140,DUKUN,25 597,"28 550
",54 147,1
3526010,KAMAL,"22 269
 ",23 704,45 973,1
3526030,"KWANYAR
",19 788,22 011,41 799,1
3526060,"KONANG
 ",21 841,22 974,44 815,1
3528050,PAMEKASAN,43 524,"45 166
",88 690,1
3528120,BATU MARMAR,"38 598
 ",39 305,77 903,1
3529,"SUMENEP
",495 099,546 816,1 041 915,1
3529030,"SARONGGI
 ",16 024,18 296,34 320,1
3573,KOTA MALANG,403 961,"415 747
",819 708,1
3574,KOTA PROBOLINGGO,"106 812
 ",110 155,216 967,1
3574011,"KEDOPOK
",15 196,15 220,30 416,1
3575,"KOTA PASURUAN
 ",92 394,93 928,186 322,1
3578200,TAMBAKSARI,101 742,"103 639
",205 381,1
3578250,BUBUTAN,"41 599
 ",42 756,84 355,1
3578270,"ASEMROWO
",21 782,20 822,42 604,1
3579,"KOTA BATU
 ",95 535,94 258,189 793,1
3601070,MUNJUL,11 328,"10 796
",22 124,1
3601110,PAGELARAN,"17 391
 ",16 509,33 900,1
3601112,"SUKARESMI
",17 402,16 367,33 769,1
3601130,"JIPUT
 ",14 423,13 968,28 391,1
3602121,LEBAKGEDONG,11 234,"10 297
",21 531,1
3602180,RANGKASBITUNG,"60 180
 ",56 741,116 921,1
3602190,"MAJA
",26 260,24 160,50 420,1
3603010,"CISOKA
 ",40 766,37 802,78 568,1
3604041,GUNUNG SARI,10 063,"9 281
",19 344,1
3604100,JAWILAN,"27 177
 ",25 399,52 576,1
3604120,"CIKANDE
",46 797,44 809,91 606,1
3604180,"WARINGINKURUNG
 ",21 236,20 132,41 368,1
